epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.37822,2.04935,8.12087,2.73243,1,0.54447,0.72038,0.34594,1.52038,3.88661,3.23938,0.000166667,0.000166667,0.0835
2,5.44509,2.06115,7.91915,2.87401,1,0.53858,0.7019,0.33605,1.50591,3.90764,3.23096,0.0004901,0.0004901,0.0504901
3,6.18238,2.2673,8.38163,3.00892,1,0.53858,0.7019,0.33605,1.50591,3.90764,3.23096,0.000800333,0.000800333,0.017467
4,6.94865,1.7919,7.56955,2.7306,0.96794,0.44444,0.65395,0.29017,1.48592,3.94907,3.22273,0.0009406,0.0009406,0.0009406
5,7.71259,1.8506,8.1452,2.63512,0.96794,0.44444,0.65395,0.29017,1.48592,3.94907,3.22273,0.0009208,0.0009208,0.0009208
6,8.49877,2.08728,9.39463,2.98095,0.96666,0.44444,0.62773,0.27021,1.49008,3.8524,3.19416,0.000901,0.000901,0.000901
7,9.24422,2.09713,10.7196,2.91508,0.96666,0.44444,0.62773,0.27021,1.49008,3.8524,3.19416,0.0008812,0.0008812,0.0008812
8,9.99701,1.81737,7.02274,2.5356,0.96693,0.44444,0.60439,0.26634,1.49871,3.72132,3.16973,0.0008614,0.0008614,0.0008614
9,10.7606,2.22043,9.58364,2.97496,0.96693,0.44444,0.60439,0.26634,1.49871,3.72132,3.16973,0.0008416,0.0008416,0.0008416
10,11.5274,2.07087,7.94823,2.91319,0.95983,0.44444,0.58956,0.23934,1.58719,3.68092,3.25668,0.0008218,0.0008218,0.0008218
11,12.285,1.9566,7.04182,3.00256,0.95983,0.44444,0.58956,0.23934,1.58719,3.68092,3.25668,0.000802,0.000802,0.000802
12,13.0678,2.09828,8.51396,3.1394,0.95956,0.44444,0.56376,0.22058,1.62936,3.77154,3.33475,0.0007822,0.0007822,0.0007822
13,13.8625,2.21496,9.92088,2.98974,0.95956,0.44444,0.56376,0.22058,1.62936,3.77154,3.33475,0.0007624,0.0007624,0.0007624
14,14.6191,2.15616,8.51635,3.04434,0.9548,0.44444,0.58328,0.22312,1.61114,3.93443,3.26743,0.0007426,0.0007426,0.0007426
15,15.6769,1.85115,9.62073,2.56623,0.9548,0.44444,0.58328,0.22312,1.61114,3.93443,3.26743,0.0007228,0.0007228,0.0007228
16,16.6481,2.16199,8.54049,3.04543,0.9473,0.44444,0.59162,0.22816,1.64203,4.07933,3.31877,0.000703,0.000703,0.000703
