epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.9361,1.86913,4.08846,2.38298,0.33212,0.55556,0.44895,0.18226,1.49081,4.02551,2.92982,0.0003,0.0003,0.0703
2,9.16474,1.73531,2.74168,2.23534,0.14274,0.5644,0.21085,0.06402,1.75363,22.7261,3.22947,0.000620793,0.000620793,0.0372875
3,12.6041,1.50526,2.35998,2.06271,0.23077,0.5,0.20623,0.07504,1.90005,60.963,4.25994,0.000928387,0.000928387,0.00426172
4,15.6433,1.4917,2.0607,2.07855,0.35,0.38889,0.21603,0.07545,2.20834,43.3217,4.97694,0.0009406,0.0009406,0.0009406
5,19.4183,1.43107,1.74666,1.99274,0.57143,0.22222,0.41665,0.10523,2.36272,19.8622,6.10545,0.0009208,0.0009208,0.0009208
6,22.5481,1.45974,1.57618,1.99136,0.04831,0.55556,0.06197,0.01826,2.64563,119.173,7.07196,0.000901,0.000901,0.000901
7,25.4957,1.54607,1.51738,2.11179,0.17949,0.38889,0.18288,0.06599,2.61922,35.8975,5.92106,0.0008812,0.0008812,0.0008812
8,28.5674,1.45057,1.42186,1.99642,0.40909,0.5,0.32601,0.06748,2.62998,18.6564,5.69864,0.0008614,0.0008614,0.0008614
9,32.17,1.44372,1.42716,1.96203,0.20466,0.5,0.27733,0.082,2.50354,11.9376,4.3843,0.0008416,0.0008416,0.0008416
10,35.4631,1.55418,1.42445,2.1327,0.32426,0.61111,0.41852,0.13603,2.5625,8.0306,4.27903,0.0008218,0.0008218,0.0008218
11,38.4321,1.3862,1.35753,1.94693,0.49087,0.66667,0.55753,0.13361,2.43143,4.87927,3.99173,0.000802,0.000802,0.000802
12,41.5203,1.40243,1.27954,1.94633,0.69804,0.77087,0.70505,0.18993,2.23813,1.86724,4.00904,0.0007822,0.0007822,0.0007822
13,45.2512,1.50876,1.44584,1.94994,0.62714,0.74819,0.68513,0.19032,2.15272,1.91227,3.49496,0.0007624,0.0007624,0.0007624
14,48.6706,1.50871,1.44366,1.99571,0.62848,0.66667,0.53528,0.13729,2.3452,2.75379,3.83387,0.0007426,0.0007426,0.0007426
15,51.7635,1.39392,1.32574,1.94124,0.57293,0.55556,0.52945,0.11611,2.68664,1.99422,4.11825,0.0007228,0.0007228,0.0007228
